,rank,precision,generator_name,base,row_size
277,47,28.680350645665243,gauss_gauss,1.5,350
278,53,19.74669507035614,gauss_gauss,1.5,350
279,60,139.55680140936806,gauss_gauss,1.5,350
280,20,45.337281325006266,big_gauss,2.0,70
281,27,32.619124147220305,big_gauss,2.0,70
282,33,61.56449546986217,big_gauss,2.0,70
283,40,193.7958100778451,big_gauss,2.0,70
284,47,82.67950978064603,big_gauss,2.0,70
285,53,1164.631173625702,big_gauss,2.0,70
286,60,10411101.268576274,big_gauss,2.0,70
287,20,46.89151462094523,gauss_gauss,2.0,70
288,27,32.44665159924427,gauss_gauss,2.0,70
289,33,68.0696252647131,gauss_gauss,2.0,70
290,40,196.43285257410471,gauss_gauss,2.0,70
291,47,80.51440043461606,gauss_gauss,2.0,70
292,53,1109.8845289337899,gauss_gauss,2.0,70
293,60,10109147.068632897,gauss_gauss,2.0,70
294,20,39.98684577287381,big_gauss,2.0,140
295,27,52.03714202886933,big_gauss,2.0,140
296,33,73.95795888413244,big_gauss,2.0,140
297,40,53.82943194772651,big_gauss,2.0,140
298,47,112.87229799205662,big_gauss,2.0,140
299,53,45222.78889001832,big_gauss,2.0,140
300,60,1237178051.0099804,big_gauss,2.0,140
301,20,40.44881519521702,gauss_gauss,2.0,140
302,27,52.971613140388584,gauss_gauss,2.0,140
303,33,77.09832723659262,gauss_gauss,2.0,140
304,40,52.82268897248448,gauss_gauss,2.0,140
305,47,115.01564003654411,gauss_gauss,2.0,140
306,53,41824.19431715447,gauss_gauss,2.0,140
307,60,1182823196.0419402,gauss_gauss,2.0,140
308,20,26.164013850036454,big_gauss,2.0,210
309,27,115.96107115239691,big_gauss,2.0,210
310,33,40.61086329815343,big_gauss,2.0,210
311,40,143.68789027881328,big_gauss,2.0,210
312,47,103.86249316011389,big_gauss,2.0,210
313,53,7004.446819115553,big_gauss,2.0,210
314,60,52879076431.16543,big_gauss,2.0,210
315,20,25.864367593560708,gauss_gauss,2.0,210
316,27,104.90551428441921,gauss_gauss,2.0,210
317,33,40.920207944444186,gauss_gauss,2.0,210
318,40,140.46729543075537,gauss_gauss,2.0,210
319,47,103.09833635732426,gauss_gauss,2.0,210
320,53,6829.760548925519,gauss_gauss,2.0,210
321,60,51867641221.812874,gauss_gauss,2.0,210
322,20,59.416852136145806,big_gauss,2.0,280
323,27,65.49920946343168,big_gauss,2.0,280
324,33,41.61186248300818,big_gauss,2.0,280
325,40,54.36969108660197,big_gauss,2.0,280
326,47,72.75994594711767,big_gauss,2.0,280
327,53,411504.28222697723,big_gauss,2.0,280
328,60,132827030.19607207,big_gauss,2.0,280
329,20,59.07086265502377,gauss_gauss,2.0,280
330,27,64.09051899457867,gauss_gauss,2.0,280
331,33,42.96149075460536,gauss_gauss,2.0,280
332,40,53.25190976203027,gauss_gauss,2.0,280
333,47,79.93471336404409,gauss_gauss,2.0,280
334,53,389717.0971881669,gauss_gauss,2.0,280
335,60,126273862.06498605,gauss_gauss,2.0,280
336,20,27.173560925525592,big_gauss,2.0,350
337,27,33.955653475348285,big_gauss,2.0,350
338,33,414.1898252118505,big_gauss,2.0,350
339,40,123.27168258116757,big_gauss,2.0,350
340,47,70.71108714503968,big_gauss,2.0,350
341,53,1378.2344066793087,big_gauss,2.0,350
342,60,13748491.559843395,big_gauss,2.0,350
343,20,28.149918427603343,gauss_gauss,2.0,350
344,27,31.149141486266522,gauss_gauss,2.0,350
345,33,456.6591347597352,gauss_gauss,2.0,350
346,40,137.91750736108685,gauss_gauss,2.0,350
347,47,69.68639097947162,gauss_gauss,2.0,350
348,53,1348.464290181712,gauss_gauss,2.0,350
349,60,13221958.15348587,gauss_gauss,2.0,350
350,20,220.98111836811904,big_gauss,4.5,70
351,27,33639.77607076233,big_gauss,4.5,70
352,33,330740298709963.0,big_gauss,4.5,70
353,40,inf,big_gauss,4.5,70
354,47,inf,big_gauss,4.5,70
355,53,inf,big_gauss,4.5,70
356,60,inf,big_gauss,4.5,70
357,20,208.50451787118192,gauss_gauss,4.5,70
358,27,32245.991916873125,gauss_gauss,4.5,70
359,33,311573532837927.25,gauss_gauss,4.5,70
360,40,inf,gauss_gauss,4.5,70
361,47,inf,gauss_gauss,4.5,70
362,53,inf,gauss_gauss,4.5,70
363,60,inf,gauss_gauss,4.5,70
364,20,59.258419474905374,big_gauss,4.5,140
365,27,102064.31743598293,big_gauss,4.5,140
366,33,1.63595490687626e+17,big_gauss,4.5,140
367,40,inf,big_gauss,4.5,140
368,47,inf,big_gauss,4.5,140
369,53,inf,big_gauss,4.5,140
370,60,inf,big_gauss,4.5,140
371,20,70.4030813634325,gauss_gauss,4.5,140
372,27,95632.96675249113,gauss_gauss,4.5,140
373,33,1.548874840108063e+17,gauss_gauss,4.5,140
374,40,inf,gauss_gauss,4.5,140
375,47,inf,gauss_gauss,4.5,140
376,53,inf,gauss_gauss,4.5,140
377,60,inf,gauss_gauss,4.5,140
378,20,76.34246819220293,big_gauss,4.5,210
379,27,53246048.83412404,big_gauss,4.5,210
380,33,inf,big_gauss,4.5,210
381,40,inf,big_gauss,4.5,210
382,47,inf,big_gauss,4.5,210
383,53,inf,big_gauss,4.5,210
384,60,inf,big_gauss,4.5,210
385,20,65.4744943883228,gauss_gauss,4.5,210
386,27,52514479.11847042,gauss_gauss,4.5,210
387,33,inf,gauss_gauss,4.5,210
388,40,inf,gauss_gauss,4.5,210
389,47,inf,gauss_gauss,4.5,210
390,53,inf,gauss_gauss,4.5,210
391,60,inf,gauss_gauss,4.5,210
392,20,33.45223557504998,big_gauss,4.5,280
393,27,3528216.6191204498,big_gauss,4.5,280
394,33,7.048167437539674e+18,big_gauss,4.5,280
395,40,inf,big_gauss,4.5,280
396,47,inf,big_gauss,4.5,280
397,53,inf,big_gauss,4.5,280
398,60,inf,big_gauss,4.5,280
399,20,33.03396135672279,gauss_gauss,4.5,280
400,27,3422296.105041475,gauss_gauss,4.5,280
401,33,6.781012158721251e+18,gauss_gauss,4.5,280
402,40,inf,gauss_gauss,4.5,280
403,47,inf,gauss_gauss,4.5,280
404,53,inf,gauss_gauss,4.5,280
405,60,inf,gauss_gauss,4.5,280
406,20,158.03882961658542,big_gauss,4.5,350
407,27,16585663.121239819,big_gauss,4.5,350
408,33,inf,big_gauss,4.5,350
409,40,inf,big_gauss,4.5,350
410,47,inf,big_gauss,4.5,350
411,53,inf,big_gauss,4.5,350
412,60,inf,big_gauss,4.5,350
413,20,169.74213201061428,gauss_gauss,4.5,350
414,27,16097905.797753932,gauss_gauss,4.5,350
415,33,inf,gauss_gauss,4.5,350
416,40,inf,gauss_gauss,4.5,350
417,47,inf,gauss_gauss,4.5,350
418,53,inf,gauss_gauss,4.5,350
419,60,inf,gauss_gauss,4.5,350
420,20,55993851428.19358,big_gauss,10.0,70
421,27,inf,big_gauss,10.0,70
422,33,inf,big_gauss,10.0,70
423,40,inf,big_gauss,10.0,70
424,47,inf,big_gauss,10.0,70
425,53,inf,big_gauss,10.0,70
426,60,inf,big_gauss,10.0,70
427,20,53134760214.66362,gauss_gauss,10.0,70
428,27,inf,gauss_gauss,10.0,70
429,33,inf,gauss_gauss,10.0,70
430,40,inf,gauss_gauss,10.0,70
431,47,inf,gauss_gauss,10.0,70
432,53,inf,gauss_gauss,10.0,70
433,60,inf,gauss_gauss,10.0,70
434,20,5408837006121366.0,big_gauss,10.0,140
435,27,inf,big_gauss,10.0,140
436,33,inf,big_gauss,10.0,140
437,40,inf,big_gauss,10.0,140
438,47,inf,big_gauss,10.0,140
439,53,inf,big_gauss,10.0,140
440,60,inf,big_gauss,10.0,140
441,20,5125600024900946.0,gauss_gauss,10.0,140
442,27,inf,gauss_gauss,10.0,140
443,33,inf,gauss_gauss,10.0,140
444,40,inf,gauss_gauss,10.0,140
445,47,inf,gauss_gauss,10.0,140
446,53,inf,gauss_gauss,10.0,140
447,60,inf,gauss_gauss,10.0,140
448,20,2.9005244224316616e+16,big_gauss,10.0,210
